The below is in seconds and not in ms


method|timestamp|throughput|duration(ms)|noTuples|noPartitions|noThreads
Independent|2022-02-28 19:29:40|212650.03628385675|78.89590001106262|16777216|4|16
Concurrent|2022-02-28 19:30:42|269806.6940970203|62.18235635757446|16777216|4|16
Independent|2022-02-28 19:32:20|270821.8754212843|61.94926452636719|16777216|8|16
Concurrent|2022-02-28 19:33:08|350168.12613542745|47.911887884140015|16777216|8|16
Independent|2022-02-28 19:35:05|214810.98697511532|78.10222482681274|16777216|16|16
Concurrent|2022-02-28 19:36:14|242638.84642938877|69.1448061466217|16777216|16|16




